... building the model
... training
p=0.700000
epoch 1, minibatch 3296/3296, validation error 81.161202 %
     epoch 1, minibatch 3296/3296, test error of best model 80.418909 %
epoch 2, minibatch 3296/3296, validation error 81.051913 %
     epoch 2, minibatch 3296/3296, test error of best model 80.368947 %
epoch 3, minibatch 3296/3296, validation error 80.765027 %
     epoch 3, minibatch 3296/3296, test error of best model 79.992314 %
epoch 4, minibatch 3296/3296, validation error 76.024590 %
     epoch 4, minibatch 3296/3296, test error of best model 75.215219 %
epoch 5, minibatch 3296/3296, validation error 62.855191 %
     epoch 5, minibatch 3296/3296, test error of best model 64.215988 %
epoch 6, minibatch 3296/3296, validation error 56.092896 %
     epoch 6, minibatch 3296/3296, test error of best model 57.386626 %
epoch 7, minibatch 3296/3296, validation error 50.519126 %
     epoch 7, minibatch 3296/3296, test error of best model 51.879324 %
epoch 8, minibatch 3296/3296, validation error 45.450820 %
     epoch 8, minibatch 3296/3296, test error of best model 47.355880 %
epoch 9, minibatch 3296/3296, validation error 42.267760 %
     epoch 9, minibatch 3296/3296, test error of best model 44.281322 %
epoch 10, minibatch 3296/3296, validation error 40.054645 %
     epoch 10, minibatch 3296/3296, test error of best model 42.225211 %
epoch 11, minibatch 3296/3296, validation error 38.620219 %
     epoch 11, minibatch 3296/3296, test error of best model 40.680246 %
epoch 12, minibatch 3296/3296, validation error 36.625683 %
     epoch 12, minibatch 3296/3296, test error of best model 39.331284 %
epoch 13, minibatch 3296/3296, validation error 36.174863 %
     epoch 13, minibatch 3296/3296, test error of best model 38.843198 %
epoch 14, minibatch 3296/3296, validation error 35.901639 %
     epoch 14, minibatch 3296/3296, test error of best model 38.566487 %
epoch 15, minibatch 3296/3296, validation error 33.811475 %
     epoch 15, minibatch 3296/3296, test error of best model 36.195234 %
epoch 16, minibatch 3296/3296, validation error 33.046448 %
     epoch 16, minibatch 3296/3296, test error of best model 35.238278 %
epoch 17, minibatch 3296/3296, validation error 32.035519 %
     epoch 17, minibatch 3296/3296, test error of best model 34.189085 %
epoch 18, minibatch 3296/3296, validation error 31.571038 %
     epoch 18, minibatch 3296/3296, test error of best model 33.847041 %
epoch 19, minibatch 3296/3296, validation error 30.000000 %
     epoch 19, minibatch 3296/3296, test error of best model 32.309762 %
epoch 20, minibatch 3296/3296, validation error 29.658470 %
     epoch 20, minibatch 3296/3296, test error of best model 31.921599 %
epoch 21, minibatch 3296/3296, validation error 29.713115 %
epoch 22, minibatch 3296/3296, validation error 29.016393 %
     epoch 22, minibatch 3296/3296, test error of best model 30.661030 %
epoch 23, minibatch 3296/3296, validation error 27.978142 %
     epoch 23, minibatch 3296/3296, test error of best model 29.465796 %
epoch 24, minibatch 3296/3296, validation error 26.625683 %
     epoch 24, minibatch 3296/3296, test error of best model 28.812452 %
epoch 25, minibatch 3296/3296, validation error 27.431694 %
epoch 26, minibatch 3296/3296, validation error 26.939891 %
epoch 27, minibatch 3296/3296, validation error 25.245902 %
     epoch 27, minibatch 3296/3296, test error of best model 27.159877 %
epoch 28, minibatch 3296/3296, validation error 25.928962 %
epoch 29, minibatch 3296/3296, validation error 25.614754 %
epoch 30, minibatch 3296/3296, validation error 25.792350 %
epoch 31, minibatch 3296/3296, validation error 23.770492 %
     epoch 31, minibatch 3296/3296, test error of best model 25.530361 %
epoch 32, minibatch 3296/3296, validation error 24.303279 %
epoch 33, minibatch 3296/3296, validation error 24.316940 %
epoch 34, minibatch 3296/3296, validation error 24.234973 %
epoch 35, minibatch 3296/3296, validation error 23.743169 %
